areacity,latitude,longitude,year,month,day,temperature_2m,climateCondition,holidays
AMBATO,-1.2491,-78.6167,2021,3,22,11.85,Lluvioso,0
AMBATO,-1.2491,-78.6167,2021,3,23,14.17,Nublado,0
AMBATO,-1.2491,-78.6167,2021,3,24,13.96,Lluvioso,0
AMBATO,-1.2491,-78.6167,2021,3,25,13.81,Nublado,0
AMBATO,-1.2491,-78.6167,2021,3,26,13.61,Nublado,0
AMBATO,-1.2491,-78.6167,2021,3,27,13.94,Nublado,0
AMBATO,-1.2491,-78.6167,2021,3,28,13.63,Nublado,0
AMBATO,-1.2491,-78.6167,2021,3,29,11.55,Nublado,0
AMBATO,-1.2491,-78.6167,2021,3,30,12.1,Lluvioso,0
AMBATO,-1.2491,-78.6167,2021,3,31,12.17,Nublado,0
AMBATO,-1.2491,-78.6167,2021,4,1,13.66,Nublado,0
AMBATO,-1.2491,-78.6167,2021,4,2,14.74,Nublado,1
AMBATO,-1.2491,-78.6167,2021,4,3,11.97,Lluvioso,0
AMBATO,-1.2491,-78.6167,2021,4,4,12.98,Nublado,0
AMBATO,-1.2491,-78.6167,2021,4,5,13.57,Nublado,0
AMBATO,-1.2491,-78.6167,2021,4,6,13.21,Nublado,0
AMBATO,-1.2491,-78.6167,2021,4,7,12.56,Nublado,0
AMBATO,-1.2491,-78.6167,2021,4,8,14.06,Nublado,0
AMBATO,-1.2491,-78.6167,2021,4,9,14.59,Nublado,0
AMBATO,-1.2491,-78.6167,2021,4,10,14.39,Lluvioso,0
AMBATO,-1.2491,-78.6167,2021,4,11,12.08,Nublado,0
AMBATO,-1.2491,-78.6167,2021,4,12,12.28,Nublado,0
AMBATO,-1.2491,-78.6167,2021,4,13,13.62,Lluvioso,0
AMBATO,-1.2491,-78.6167,2021,4,14,12.87,Nublado,0
AMBATO,-1.2491,-78.6167,2021,4,15,11.36,Nublado,0
AMBATO,-1.2491,-78.6167,2021,4,16,11.86,Nublado,0
AMBATO,-1.2491,-78.6167,2021,4,17,13.07,Lluvioso,0
AMBATO,-1.2491,-78.6167,2021,4,18,13.95,Soleado,0
AMBATO,-1.2491,-78.6167,2021,4,19,12.79,Nublado,0
AMBATO,-1.2491,-78.6167,2021,4,20,13.73,Nublado,0
AMBATO,-1.2491,-78.6167,2021,4,21,13.87,Nublado,0
AMBATO,-1.2491,-78.6167,2021,4,22,13.53,Nublado,0
AMBATO,-1.2491,-78.6167,2021,4,23,14.17,Nublado,0
AMBATO,-1.2491,-78.6167,2021,4,24,14.15,Lluvioso,0
AMBATO,-1.2491,-78.6167,2021,4,25,13.9,Soleado,0
AMBATO,-1.2491,-78.6167,2021,4,26,11.54,Nublado,0
AMBATO,-1.2491,-78.6167,2021,4,27,12.67,Lluvioso,0
AMBATO,-1.2491,-78.6167,2021,4,28,11.61,Lluvioso,0
AMBATO,-1.2491,-78.6167,2021,4,29,12.66,Nublado,0
AMBATO,-1.2491,-78.6167,2021,4,30,10.66,Lluvioso,1
AMBATO,-1.2491,-78.6167,2021,5,1,12.62,Lluvioso,1
AMBATO,-1.2491,-78.6167,2021,5,2,13.8,Nublado,0
AMBATO,-1.2491,-78.6167,2021,5,3,11.54,Lluvioso,0
AMBATO,-1.2491,-78.6167,2021,5,4,13.24,Nublado,0
AMBATO,-1.2491,-78.6167,2021,5,5,13.74,Nublado,0
AMBATO,-1.2491,-78.6167,2021,5,6,13.91,Nublado,0
AMBATO,-1.2491,-78.6167,2021,5,7,13.13,Nublado,0
